Australian Bureau of Statistics,,,,,
,,,,,
"2021 Census - counting persons, place of usual residence",,,,,
"INGP Indigenous Status, LFSP Labour Force Status and SA3 (UR) by AGE5P Age in Five Year Groups",,,,,
Counting: Person Records,,,,,
,,,,,
Filters:,,,,,
Default Summation,Person Records,,,,
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21002,71
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21003,119
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21004,156
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21005,280
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21101,226
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21102,28
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21103,171
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21104,30
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21105,381
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21201,221
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21202,151
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21203,333
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21204,115
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21205,101
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21301,135
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21302,147
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21303,186
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21304,399
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21305,478
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21401,348
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21402,336
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21501,139
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21502,375
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21503,182
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21601,188
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21602,113
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21603,420
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21701,168
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21703,86
Person Records,Over 15,Aboriginal,"Employed, worked full-time",21704,183
Person Records,Over 15,Aboriginal,"Employed, worked full-time",29797,0
Person Records,Over 15,Aboriginal,"Employed, worked full-time",29999,10
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20101,29
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20102,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20103,13
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20201,19
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20202,4
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20203,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20301,8
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20302,35
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20303,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20401,25
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20402,16
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20403,16
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20501,8
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20502,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20503,13
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20504,24
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20505,10
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20601,7
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20602,4
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20603,3
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20604,9
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20605,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20606,4
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20607,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20701,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20702,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20703,8
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20801,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20802,6
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20803,16
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20804,3
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20901,8
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20902,11
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20903,8
Person Records,Over 15,Torres Strait Islander,Not in the labour force,20904,23
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21001,3
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21002,5
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21003,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21004,7
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21005,20
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21101,3
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21102,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21103,7
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21104,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21105,15
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21201,4
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21202,7
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21203,21
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21204,13
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21205,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21301,4
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21302,3
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21303,12
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21304,25
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21305,14
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21401,25
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21402,19
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21501,22
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21502,12
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21503,8
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21601,6
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21602,3
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21603,12
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21701,3
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21703,4
Person Records,Over 15,Torres Strait Islander,Not in the labour force,21704,5
Person Records,Over 15,Torres Strait Islander,Not in the labour force,29797,0
Person Records,Over 15,Torres Strait Islander,Not in the labour force,29999,4
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20101,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20102,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20103,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20201,4
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20202,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20203,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20301,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20302,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20303,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20401,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20402,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20403,3
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20501,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20502,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20503,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20504,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20505,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20601,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20602,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20603,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20604,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20605,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20606,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20607,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20701,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20702,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20703,5
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20801,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20802,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20803,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20804,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20901,3
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20902,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20903,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",20904,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21001,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21002,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21003,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21004,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21005,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21101,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21102,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21103,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21104,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21105,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21201,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21202,3
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21203,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21204,3
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21205,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21301,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21302,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21303,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21304,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21305,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21401,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21402,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21501,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21502,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21503,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21601,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21602,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21603,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21701,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21703,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",21704,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",29797,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for part-time work",29999,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20101,4
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20102,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20103,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20201,7
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20202,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20203,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20301,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20302,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20303,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20401,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20402,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20403,4
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20501,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20502,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20503,5
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20504,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20505,3
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20601,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20602,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20603,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20604,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20605,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20606,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20607,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20701,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20702,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20703,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20801,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20802,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20803,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20804,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20901,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20902,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20903,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",20904,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21001,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21002,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21003,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21004,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21005,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21101,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21102,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21103,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21104,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21105,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21201,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21202,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21203,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21204,4
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21205,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21301,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21302,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21303,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21304,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21305,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21401,5
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21402,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21501,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21502,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21503,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21601,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21602,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21603,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21701,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21703,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",21704,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",29797,0
Person Records,Over 15,Torres Strait Islander,"Unemployed, looking for full-time work",29999,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20101,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20102,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20103,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20201,6
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20202,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20203,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20301,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20302,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20303,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20401,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20402,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20403,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20501,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20502,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20503,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20504,7
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20505,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20601,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20602,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20603,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20604,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20605,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20606,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20607,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20701,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20702,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20703,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20801,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20802,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20803,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20804,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20901,4
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20902,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20903,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",20904,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21001,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21002,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21003,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21004,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21005,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21101,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21102,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21103,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21104,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21105,4
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21201,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21202,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21203,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21204,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21205,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21301,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21302,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21303,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21304,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21305,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21401,5
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21402,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21501,5
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21502,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21503,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21601,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21602,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21603,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21701,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21703,3
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",21704,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",29797,0
Person Records,Over 15,Torres Strait Islander,"Employed, away from work",29999,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20101,6
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20102,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20103,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20201,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20202,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20203,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20301,5
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20302,11
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20303,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20401,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20402,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20403,11
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20501,6
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20502,6
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20503,7
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20504,8
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20505,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20601,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20602,6
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20603,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20604,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20605,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20606,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20607,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20701,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20702,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20703,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20801,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20802,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20803,5
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20804,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20901,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20902,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20903,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",20904,7
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21001,6
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21002,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21003,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21004,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21005,6
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21101,5
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21102,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21103,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21104,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21105,9
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21201,10
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21202,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21203,5
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21204,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21205,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21301,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21302,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21303,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21304,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21305,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21401,10
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21402,8
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21501,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21502,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21503,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21601,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21602,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21603,3
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21701,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21703,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",21704,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",29797,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked part-time",29999,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked full-time",20101,13
Person Records,Over 15,Torres Strait Islander,"Employed, worked full-time",20102,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked full-time",20103,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked full-time",20201,21
Person Records,Over 15,Torres Strait Islander,"Employed, worked full-time",20202,4
Person Records,Over 15,Torres Strait Islander,"Employed, worked full-time",20203,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked full-time",20301,0
Person Records,Over 15,Torres Strait Islander,"Employed, worked full-time",20302,16
Person Records,Over 15,Torres Strait Islander,"Employed, worked full-time",20303,0
